model,method,group_name,seed,output_dir,mixed_F1@0.5,mixed_F1@0.95,mixed_Precision@0.5,mixed_Precision@0.95,mixed_Recall@0.5,mixed_Recall@0.95,mixed_mAP@0.5,mixed_mAP@0.5:0.95,mixed_mAP@0.75,mixed_mAP@0.95,matched_F1@0.5,matched_F1@0.95,matched_Precision@0.5,matched_Precision@0.95,matched_Recall@0.5,matched_Recall@0.95,matched_mAP@0.5,matched_mAP@0.5:0.95,matched_mAP@0.75,matched_mAP@0.95,average_forgetting
base,replay,base:replay,43,experiments/suites/thesis_l40_main/model_base/seed_43/replay,0.10615597931833214,0.009126256418032662,0.057904372641030606,0.004946030397278141,0.9584716454570223,0.11473400227458667,0.7198185104216327,0.5224466359864008,0.6107446570100098,0.021934330834475196,,,,,,,,,,,
base,replay,base:replay,44,experiments/suites/thesis_l40_main/model_base/seed_44/replay,0.0618350923802423,0.005173003563860049,0.03316842534688209,0.0027312436438233496,0.9422091437668844,0.14596099058624368,0.6929508086442103,0.49591332459663057,0.5534686586157941,0.046604017294861376,,,,,,,,,,,
large,det_lora,large:det_lora,42,experiments/suites/thesis_l40_main/model_large/seed_42/det_lora,0.02810891713137091,0.004178104018871639,0.014268683235255333,0.002120063327966898,0.9812760427837542,0.14971451503827995,0.6670246700413553,0.46425848974171924,0.528613570218108,0.020240906186581812,0.027462166599398458,0.004245525476120911,0.013927239254251789,0.002152822474827902,0.9877864388624958,0.15466843091976448,0.8221332494066366,0.5764994904444417,0.6540743933296501,0.028126053911333323,0.0
large,det_lora,large:det_lora,43,experiments/suites/thesis_l40_main/model_large/seed_43/det_lora,0.028396883444276474,0.0032260723704790814,0.014416413839049154,0.0016371718753943273,0.978361120675919,0.11332817292384188,0.6327011349140436,0.442264664784992,0.499043968131786,0.015727351915147385,0.0274824527316352,0.0033738333323752065,0.01393758976001514,0.0017110864657705332,0.988205521072456,0.12124789079043387,0.8187685580326173,0.5732303668220676,0.6541060592086397,0.01984915552475891,0.0
large,det_lora,large:det_lora,44,experiments/suites/thesis_l40_main/model_large/seed_44/det_lora,0.030837840696848143,0.0035461809612896875,0.015703619427797747,0.0018037724920318694,0.9735345595503754,0.12289739056086284,0.6743354787173792,0.46699678936097166,0.5275361652059715,0.01578031751376881,0.027373856198287836,0.0037733345071800637,0.013882457744681546,0.0019135016942227173,0.9846426570779373,0.13688847581890587,0.8186657841999372,0.5733983435926239,0.6527786722025843,0.026364810596413393,0.0
large,ewc,large:ewc,42,experiments/suites/thesis_l40_main/model_large/seed_42/ewc,0.14858489658163423,0.009149912881328987,0.09000649828362765,0.005486098723456075,0.8519663118451319,0.08641292492372676,0.4893297513973118,0.3260178103663678,0.3651650068410411,0.0078430962030591,,,,,,,,,,,
large,ewc,large:ewc,43,experiments/suites/thesis_l40_main/model_large/seed_43/ewc,0.1578862061706023,0.00497901501449477,0.09945315763358302,0.0030252150157542928,0.8161698760662534,0.07238206314528078,0.4700210875898578,0.3174658615729305,0.3729692783975866,0.009513212729580235,,,,,,,,,,,
large,ewc,large:ewc,44,experiments/suites/thesis_l40_main/model_large/seed_44/ewc,0.13523982543901406,0.009146138593997063,0.08301674518916549,0.005469092561164784,0.8139811417218956,0.09351961047862163,0.4045322510901264,0.2851181668582776,0.328207734336118,0.009339660910582614,,,,,,,,,,,
large,finetuning,large:finetuning,42,experiments/suites/thesis_l40_main/model_large/seed_42/finetuning,0.11748150411199633,0.0044853699777081145,0.16118687497367426,0.005661536835834063,0.5312681171037527,0.10881477801694815,0.3485567767415765,0.23305696464105496,0.2508794461463718,0.03904101219185039,,,,,,,,,,,
large,finetuning,large:finetuning,43,experiments/suites/thesis_l40_main/model_large/seed_43/finetuning,0.08600531803028566,0.0037393273729128345,0.21960088305946937,0.002258134120023045,0.48198356709916396,0.04292577886906307,0.3282507471754876,0.22579601646251027,0.2586962470528682,0.0034991667246281003,,,,,,,,,,,
